Symbol,Ticker,Cash ,Name,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last,,,,name,ID_BB_GLOBAL,ID SEP,FUT_CONT_SIZE,px_last,FUT_CONT_SIZE
NIFTY,NZ,,Nifty,,,,,,,,,,,,,,,,,,
NZ,NZ,,Nifty,,,,,,,,,,,,,,,,,,
NSEBANK,AF,,NSEBANK,,,,,,,,,,,,,,,,,,
AF,ABB,ABB IS Equity,ABB INDIA LTD,ABB=Q5 is equity,ABB=U5 is equity,ABB INDIA LTD Aug25,ABB INDIA LTD Sep25,BBG01V9XSG02,BBG01VT8QJJ1,125,125,5065.5,,,,ABB INDIA LTD Sep25,BBG01V9XSG02,BBG01VT8QJJ1,125,5017,125
,ABCAP,ABCAP IS Equity,ADITYA BIRLA CAPITAL LTD,ABCAP=Q5 is equity,ABCAP=U5 is equity,ADITYA BIRLA CAP Aug25,ADITYA BIRLA CAP Sep25,BBG01V9XSCG4,BBG01VT8QGC4,3100,3100,269.1,,,,ADITYA BIRLA CAP Sep25,BBG01V9XSCG4,BBG01VT8QGC4,3100,281.05,3100
,ABFRL,ABFRL IS Equity,ADITYA BIRLA FASHION AND RET,ABFRL=Q5 is equity,NA,ADITYA BIRLA F&R Aug25,#N/A Invalid Security,BBG01V9XSC01,#N/A Invalid Security,2600,#N/A Invalid Security,76.1,,,,#N/A Invalid Security,BBG01V9XSC01,#N/A Invalid Security,2600,82.81,#N/A Invalid Security
ADANIENSOL,ADANE,ADANIENS IS Equity,ADANI ENERGY SOLUTIONS LTD,ADANE=Q5 is equity,ADANE=U5 is equity,ADANI ENERGY SOL Aug25,ADANI ENERGY SOL Sep25,BBG01V9XSCJ1,BBG01VT8QGG0,675,675,786.25,,,,ADANI ENERGY SOL Sep25,BBG01V9XSCJ1,BBG01VT8QGG0,675,788.15,675
,ADE,ADE IS Equity,ADANI ENTERPRISES LTD,ADE=Q5 is equity,ADE=U5 is equity,Adani Enterprises Aug25,Adani Enterprises Sep25,BBG01V9XSHT9,BBG01VT8QLK4,300,300,2286.8,,,,Adani Enterprises Sep25,BBG01V9XSHT9,BBG01VT8QLK4,300,2270.6,300
,ADANG,ADANIGR IS Equity,ADANI GREEN ENERGY LTD,ADANG=Q5 is equity,ADANG=U5 is equity,ADANI GREEN ENER Aug25,ADANI GREEN ENER Sep25,BBG01V9XSCK9,BBG01VT8QGH9,600,600,920.85,,,,ADANI GREEN ENER Sep25,BBG01V9XSCK9,BBG01VT8QGH9,600,930.2,600
ADANIPORTS,ADSEZ,ADSEZ IS Equity,ADANI PORTS AND SPECIAL ECON,ADSEZ=Q5 is equity,ADSEZ=U5 is equity,Adani Ports Aug25,Adani Ports Sep25,BBG01V9XSK49,BBG01VT8QN48,475,475,1306,,,,Adani Ports Sep25,BBG01V9XSK49,BBG01VT8QN48,475,1313.7,475
,ALKEM,ALKEM IS Equity,ALKEM LABORATORIES LTD,ALKEM=Q5 is equity,ALKEM=U5 is equity,ALKEM LABORATORIES Aug25,ALKEM LABORATORIES Sep25,BBG01V9XSBP6,BBG01VT8QF72,125,125,5386.5,,,,ALKEM LABORATORIES Sep25,BBG01V9XSBP6,BBG01VT8QF72,125,5416,125
AMBUJACEM,ACEM,ACEM IS Equity,AMBUJA CEMENTS LTD,ACEM=Q5 is equity,ACEM=U5 is equity,AMBUJA CEMENTS Aug25,AMBUJA CEMENTS Sep25,BBG01V9XSGY5,BBG01VT8QKD4,1050,1050,577,,,,AMBUJA CEMENTS Sep25,BBG01V9XSGY5,BBG01VT8QKD4,1050,572.75,1050
,ANGEL,ANGELONE IS Equity,ANGEL ONE LTD,ANGEL=Q5 is equity,ANGEL=U5 is equity,ANGEL ONE LTD Aug25,ANGEL ONE LTD Sep25,BBG01V9XSCM7,BBG01VT8QGJ7,250,250,2660.1,,,,ANGEL ONE LTD Sep25,BBG01V9XSCM7,BBG01VT8QGJ7,250,2344.8,250
,APAT,APAT IS Equity,APL APOLLO TUBES LTD,APAT=Q5 is equity,APAT=U5 is equity,APL APOLLO TUBES Aug25,APL APOLLO TUBES Sep25,BBG01V9XSCN6,BBG01VT8QGK5,350,350,1585.4,,,,APL APOLLO TUBES Sep25,BBG01V9XSCN6,BBG01VT8QGK5,350,1629.4,350
APOLLOHOSP,APHS,APHS IS Equity,APOLLO HOSPITALS ENTERPRISE,APHS=Q5 is equity,APHS=U5 is equity,Apollo Hosp Aug25,Apollo Hosp Sep25,BBG01V9XSKH5,BBG01VT8QNH4,125,125,7774.5,,,,Apollo Hosp Sep25,BBG01V9XSKH5,BBG01VT8QNH4,125,7773.5,125
,AL,AL IS Equity,ASHOK LEYLAND LTD,AL=Q5 is equity,AL=U5 is equity,Ashok Leyland Ltd Aug25,Ashok Leyland Ltd Sep25,BBG01V9XSH28,BBG01VT8QKJ8,5000,5000,119.87,,,,Ashok Leyland Ltd Sep25,BBG01V9XSH28,BBG01VT8QKJ8,5000,131.35,5000
ASIANPAINT,APNT,APNT IS Equity,ASIAN PAINTS LTD,APNT=Q5 is equity,APNT=U5 is equity,Asian Paints Ltd Aug25,Asian Paints Ltd Sep25,BBG01V9XSHK8,BBG01VT8QKY1,250,250,2508.7,,,,Asian Paints Ltd Sep25,BBG01V9XSHK8,BBG01VT8QKY1,250,2486.5,250
,ASTRA,ASTRA IS Equity,ASTRAL LTD,ASTRA=Q5 is equity,ASTRA=U5 is equity,ASTRAL LIMITED Aug25,ASTRAL LIMITED Sep25,BBG01V9XSC10,BBG01VT8QFT8,425,425,1287,,,,ASTRAL LIMITED Sep25,BBG01V9XSC10,BBG01VT8QFT8,425,1389.8,425
,ATGL,ATGL IS Equity,ADANI TOTAL GAS LTD,ATGL=Q5 is equity,NA,ADANI TOTAL GAS Aug25,#N/A Invalid Security,BBG01V9XSCL8,#N/A Invalid Security,875,#N/A Invalid Security,611.65,,,,#N/A Invalid Security,BBG01V9XSCL8,#N/A Invalid Security,875,637.7,#N/A Invalid Security
AUBANK,AUBAN,AUBANK IS Equity,AU SMALL FINANCE BANK LTD,AUBAN=Q5 is equity,AUBAN=U5 is equity,AU Small Fin Bank Aug25,AU Small Fin Bank Sep25,BBG01V9XSBS3,BBG01VT8QF90,1000,1000,745.15,,,,AU Small Fin Bank Sep25,BBG01V9XSBS3,BBG01VT8QF90,1000,745.4,1000
,ARBP,ARBP IS Equity,AUROBINDO PHARMA LTD,ARBP=Q5 is equity,ARBP=U5 is equity,Aurobindo Pharma Aug25,Aurobindo Pharma Sep25,BBG01V9XSHX4,BBG01VT8QLW1,550,550,1096.9,,,,Aurobindo Pharma Sep25,BBG01V9XSHX4,BBG01VT8QLW1,550,1044.1,550
AXISBANK,AXSB,AXSB IS Equity,AXIS BANK LTD,AXSB=Q5 is equity,AXSB=U5 is equity,Axis Bank Aug25,Axis Bank Sep25,BBG01V9XSJ88,BBG01VT8QM68,625,625,1072.1,,,,Axis Bank Sep25,BBG01V9XSJ88,BBG01VT8QM68,625,1051.2,625
BAJAJ-AUTO,BJAUT,BJAUT IS Equity,BAJAJ AUTO LTD,BJAUT=Q5 is equity,BJAUT=U5 is equity,Bajaj Auto Aug25,Bajaj Auto Sep25,BBG01V9XSK76,BBG01VT8QN66,75,75,8257.5,,,,Bajaj Auto Sep25,BBG01V9XSK76,BBG01VT8QN66,75,8704.5,75
BAJAJFINSV,BJFIN,BJFIN IS Equity,BAJAJ FINSERV LTD,BJFIN=Q5 is equity,BJFIN=U5 is equity,BAJAJ FINSERV LT Aug25,BAJAJ FINSERV LT Sep25,BBG01V9XSLH3,BBG01VT8QPG0,500,500,1931,,,,BAJAJ FINSERV LT Sep25,BBG01V9XSLH3,BBG01VT8QPG0,500,1920.6,500
BAJFINANCE,BAF,BAF IS Equity,BAJAJ FINANCE LTD,BAF=Q5 is equity,BAF=U5 is equity,Bajaj Finance Ltd Aug25,Bajaj Finance Ltd Sep25,BBG01V9XSKN8,BBG01VT8QNN7,750,750,863.55,,,,Bajaj Finance Ltd Sep25,BBG01V9XSKN8,BBG01VT8QNN7,750,875.6,750
,BANDH,BANDHAN IS Equity,BANDHAN BANK LTD,BANDH=Q5 is equity,BANDH=U5 is equity,Bandhan Bank Ltd Aug25,Bandhan Bank Ltd Sep25,BBG01V9XSB76,BBG01VT8QDY7,3600,3600,164.09,,,,Bandhan Bank Ltd Sep25,BBG01V9XSB76,BBG01VT8QDY7,3600,165.67,3600
,BOB,BOB IS Equity,BANK OF BARODA,BOB=Q5 is equity,BOB=U5 is equity,Bank of Baroda Aug25,Bank of Baroda Sep25,BBG01V9XSJ24,BBG01VT8QM13,2925,2925,242.45,,,,Bank of Baroda Sep25,BBG01V9XSJ24,BBG01VT8QM13,2925,234.79,2925
,BOI,BOI IS Equity,BANK OF INDIA,BOI=Q5 is equity,BOI=U5 is equity,Bank of India Aug25,Bank of India Sep25,BBG01V9XSJ42,BBG01VT8QM22,5200,5200,113.23,,,,Bank of India Sep25,BBG01V9XSJ42,BBG01VT8QM22,5200,112.45,5200
,BHE,BHE IS Equity,BHARAT ELECTRONICS LTD,BHE=Q5 is equity,BHE=U5 is equity,BHARAT ELECTRON Aug25,BHARAT ELECTRON Sep25,BBG01V9XSG11,BBG01VT8QJK9,2850,2850,383.75,,,,BHARAT ELECTRON Sep25,BBG01V9XSG11,BBG01VT8QJK9,2850,365.8,2850
,BHFC,BHFC IS Equity,BHARAT FORGE LTD,BHFC=Q5 is equity,BHFC=U5 is equity,Bharat Forge Ltd Aug25,Bharat Forge Ltd Sep25,BBG01V9XSH46,BBG01VT8QKL5,500,500,1174.7,,,,Bharat Forge Ltd Sep25,BBG01V9XSH46,BBG01VT8QKL5,500,1122.6,500
BHARTIARTL,BHART,BHARTI IS Equity,BHARTI AIRTEL LTD,BHART=Q5 is equity,BHART=U5 is equity,Bharti Airtel Aug25,Bharti Airtel Sep25,BBG01V9XSJG9,BBG01VT8QMD0,475,475,1876.6,,,,Bharti Airtel Sep25,BBG01V9XSJG9,BBG01VT8QMD0,475,1904.9,475
,BHEL,BHEL IS Equity,BHARAT HEAVY ELECTRICALS,BHEL=Q5 is equity,BHEL=U5 is equity,BHARAT HEAVY ELE Aug25,BHARAT HEAVY ELE Sep25,BBG01V9XSG84,BBG01VT8QJS1,2625,2625,222.6,,,,BHARAT HEAVY ELE Sep25,BBG01V9XSG84,BBG01VT8QJS1,2625,211.79,2625
,BIOS,BIOS IS Equity,BIOCON LTD,BIOS=Q5 is equity,BIOS=U5 is equity,Biocon Ltd Aug25,Biocon Ltd Sep25,BBG01V9XSJR7,BBG01VT8QMP7,2500,2500,361.75,,,,Biocon Ltd Sep25,BBG01V9XSJR7,BBG01VT8QMP7,2500,358.65,2500
,BOS,BOS IS Equity,BOSCH LTD,BOS=Q5 is equity,BOS=U5 is equity,BOSCH Aug25,BOSCH Sep25,BBG01V9XSH91,BBG01VT8QKP1,25,25,38590,,,,BOSCH Sep25,BBG01V9XSH91,BBG01VT8QKP1,25,39430,25
,BPCL,BPCL IS Equity,BHARAT PETROLEUM CORP LTD,BPCL=Q5 is equity,BPCL=U5 is equity,Bharat Petroleum Aug25,Bharat Petroleum Sep25,BBG01V9XSHB8,BBG01VT8QKQ0,1975,1975,320.8,,,,Bharat Petroleum Sep25,BBG01V9XSHB8,BBG01VT8QKQ0,1975,312.4,1975
BRITANNIA,BRIT,BRIT IS Equity,BRITANNIA INDUSTRIES LTD,BRIT=Q5 is equity,BRIT=U5 is equity,Britannia Ind Ltd Aug25,Britannia Ind Ltd Sep25,BBG01V9XSKM9,BBG01VT8QNM8,125,125,5376.5,,,,Britannia Ind Ltd Sep25,BBG01V9XSKM9,BBG01VT8QNM8,125,5757.5,125
,BSE,BSE IS Equity,BSE LTD,BSE=Q5 is equity,BSE=U5 is equity,BSE LTD Aug25,BSE LTD Sep25,BBG01V9XSD18,BBG01VT8QGX1,375,375,2476,,,,BSE LTD Sep25,BBG01V9XSD18,BBG01VT8QGX1,375,2220.9,375
,CAMS,CAMS IS Equity,COMPUTER AGE MANAGEMENT SERV,CAMS=Q5 is equity,CAMS=U5 is equity,COMPUTER AGE MAN Aug25,COMPUTER AGE MAN Sep25,BBG01V9XSD27,BBG01VT8QGY0,150,150,3849.1,,,,COMPUTER AGE MAN Sep25,BBG01V9XSD27,BBG01VT8QGY0,150,3725.9,150
,CBK,CBK IS Equity,CANARA BANK,CBK=Q5 is equity,CBK=U5 is equity,Canara Bank Ltd Aug25,Canara Bank Ltd Sep25,BBG01V9XSJL3,BBG01VT8QMJ4,6750,6750,108.98,,,,Canara Bank Ltd Sep25,BBG01V9XSJL3,BBG01VT8QMJ4,6750,105.99,6750
CDSL,CDSL,CDSL IS Equity,CENTRAL DEPOSITORY SERVICES,CDSL=Q5 is equity,CDSL=U5 is equity,CENTRAL DEPOSITO Aug25,CENTRAL DEPOSITO Sep25,BBG01V9XSD36,BBG01VT8QH05,475,475,1558.4,,,,CENTRAL DEPOSITO Sep25,BBG01V9XSD36,BBG01VT8QH05,475,1492.5,475
,CESC,CESC IS Equity,CESC LTD,CESC=Q5 is equity,NA,CESC Limited Aug25,#N/A Invalid Security,BBG01V9XSG20,#N/A Invalid Security,3625,#N/A Invalid Security,163.51,,,,#N/A Invalid Security,BBG01V9XSG20,#N/A Invalid Security,3625,162.17,#N/A Invalid Security
,CGPOW,CGPOWER IS Equity,CG POWER AND INDUSTRIAL SOLU,CGPOW=Q5 is equity,CGPOW=U5 is equity,CG POWER AND IND Aug25,CG POWER AND IND Sep25,BBG01V9XSG66,BBG01VT8QJQ3,850,850,670.95,,,,CG POWER AND IND Sep25,BBG01V9XSG66,BBG01VT8QJQ3,850,672.05,850
CHOLAFIN,CIFC,CIFC IS Equity,CHOLAMANDALAM INVESTMENT AND,CIFC=Q5 is equity,CIFC=U5 is equity,CHOLAMANDALAM IN Aug25,CHOLAMANDALAM IN Sep25,BBG01V9XSLD7,BBG01VT8QP98,625,625,1473,,,,CHOLAMANDALAM IN Sep25,BBG01V9XSLD7,BBG01VT8QP98,625,1474.5,625
,CIPLA,CIPLA IS Equity,CIPLA LTD,CIPLA=Q5 is equity,CIPLA=U5 is equity,Cipla Limited Aug25,Cipla Limited Sep25,BBG01V9XSG57,BBG01VT8QJP4,375,375,1563.4,,,,Cipla Limited Sep25,BBG01V9XSG57,BBG01VT8QJP4,375,1577.5,375
,COAL,COAL IS Equity,COAL INDIA LTD,COAL=Q5 is equity,COAL=U5 is equity,COAL INDIA LTD Aug25,COAL INDIA LTD Sep25,BBG01V9XSKD9,BBG01VT8QNC9,1350,1350,379.85,,,,COAL INDIA LTD Sep25,BBG01V9XSKD9,BBG01VT8QNC9,1350,372.75,1350
,COFOR,COFORGE IS Equity,COFORGE LIMITED,COFOR=Q5 is equity,COFOR=U5 is equity,COFORGE LIMITED Aug25,COFORGE LIMITED Sep25,BBG01V9XSL29,BBG01VT8QP07,375,375,1630.5,,,,COFORGE LIMITED Sep25,BBG01V9XSL29,BBG01VT8QP07,375,1742.3,375
,CLGT,CLGT IS Equity,COLGATE PALMOLIVE (INDIA),CLGT=Q5 is equity,CLGT=U5 is equity,Colgate-Palmolive Aug25,Colgate-Palmolive Sep25,BBG01V9XSHL7,BBG01VT8QKZ0,225,225,2179.9,,,,Colgate-Palmolive Sep25,BBG01V9XSHL7,BBG01VT8QKZ0,225,2286.8,225
,CCRI,CCRI IS Equity,CONTAINER CORP OF INDIA LTD,CCRI=Q5 is equity,CCRI=U5 is equity,CONTAINER CORP Aug25,CONTAINER CORP Sep25,BBG01V9XSKZ5,BBG01VT8QNY5,1250,1250,538.15,,,,CONTAINER CORP Sep25,BBG01V9XSKZ5,BBG01VT8QNY5,1250,528.1,1250
,CROMP,CROMPTON IS Equity,CROMPTON GREAVES CONSUMER EL,CROMP=Q5 is equity,CROMP=U5 is equity,CROMPTON GREAVES Aug25,CROMPTON GREAVES Sep25,BBG01V9XSC74,BBG01VT8QG43,1800,1800,324.4,,,,CROMPTON GREAVES Sep25,BBG01V9XSC74,BBG01VT8QG43,1800,324.65,1800
CUMMINSIND,KKC,KKC IS Equity,CUMMINS INDIA LTD,KKC=Q5 is equity,KKC=U5 is equity,CUMMINS INDIA Aug25,CUMMINS INDIA Sep25,BBG01V9XSH37,BBG01VT8QKK6,200,200,3782.7,,,,CUMMINS INDIA Sep25,BBG01V9XSH37,BBG01VT8QKK6,200,3823.8,200
,CYL,CYL IS Equity,CYIENT LTD,CYL=Q5 is equity,CYL=U5 is equity,CYIENT LTD Aug25,CYIENT LTD Sep25,BBG01V9XSD45,BBG01VT8QH14,425,425,1171.6,,,,CYIENT LTD Sep25,BBG01V9XSD45,BBG01VT8QH14,425,1202.6,425
,DABUR,DABUR IS Equity,DABUR INDIA LTD,DABUR=Q5 is equity,DABUR=U5 is equity,Dabur India Ltd Aug25,Dabur India Ltd Sep25,BBG01V9XSG75,BBG01VT8QJR2,1250,1250,504.4,,,,Dabur India Ltd Sep25,BBG01V9XSG75,BBG01VT8QJR2,1250,523.15,1250
DALBHARAT,DALBH,DALBHARA IS Equity,DALMIA BHARAT LTD,DALBH=Q5 is equity,DALBH=U5 is equity,DALMIA BHARAT Aug25,DALMIA BHARAT Sep25,BBG01V9XSC83,BBG01VT8QG61,325,325,2270.2,,,,DALMIA BHARAT Sep25,BBG01V9XSC83,BBG01VT8QG61,325,2365.2,325
,DELHV,DELHIVER IS Equity,DELHIVERY LTD,DELHV=Q5 is equity,DELHV=U5 is equity,DELHIVERY LTD Aug25,DELHIVERY LTD Sep25,BBG01V9XSD54,BBG01VT8QH23,2075,2075,466.55,,,,DELHIVERY LTD Sep25,BBG01V9XSD54,BBG01VT8QH23,2075,478.35,2075
,DIVI,DIVI IS Equity,DIVI'S LABORATORIES LTD,DIVI=Q5 is equity,DIVI=U5 is equity,Divi's Lab Ltd Aug25,Divi's Lab Ltd Sep25,BBG01V9XSJM2,BBG01VT8QMK2,100,100,6165.5,,,,Divi's Lab Ltd Sep25,BBG01V9XSJM2,BBG01VT8QMK2,100,6184,100
,DIXON,DIXON IS Equity,DIXON TECHNOLOGIES INDIA LTD,DIXON=Q5 is equity,DIXON=U5 is equity,DIXON TECHNOLOGI Aug25,DIXON TECHNOLOGI Sep25,BBG01V9XSC29,BBG01VT8QFZ1,50,50,16045,,,,DIXON TECHNOLOGI Sep25,BBG01V9XSC29,BBG01VT8QFZ1,50,16684,50
,DLFU,DLFU IS Equity,DLF LTD,DLFU=Q5 is equity,DLFU=U5 is equity,DLF Ltd Aug25,DLF Ltd Sep25,BBG01V9XSK21,BBG01VT8QN20,825,825,755,,,,DLF Ltd Sep25,BBG01V9XSK21,BBG01VT8QN20,825,753.95,825
DMART,DMART,DMART IS Equity,AVENUE SUPERMARTS LTD,DMART=Q5 is equity,DMART=U5 is equity,AVENUE SUPERMART Aug25,AVENUE SUPERMART Sep25,BBG01V9XSD63,BBG01VT8QH32,150,150,4325,,,,AVENUE SUPERMART Sep25,BBG01V9XSD63,BBG01VT8QH32,150,4687.9,150
DRREDDY,DRRD,DRRD IS Equity,DR. REDDY'S LABORATORIES,DRRD=Q5 is equity,DRRD=U5 is equity,DR REDDY'S LABS Aug25,DR REDDY'S LABS Sep25,BBG01V9XSGG5,BBG01VT8QJY4,625,625,1254.7,,,,DR REDDY'S LABS Sep25,BBG01V9XSGG5,BBG01VT8QJY4,625,1262.6,625
EICHERMOT,EIM,EIM IS Equity,EICHER MOTORS LTD,EIM=Q5 is equity,EIM=U5 is equity,Eicher Motors Aug25,Eicher Motors Sep25,BBG01V9XSKL0,BBG01VT8QNL9,175,175,5749.5,,,,Eicher Motors Sep25,BBG01V9XSKL0,BBG01VT8QNL9,175,6142,175
ETERNAL,ETERN,ETERNAL IS Equity,ETERNAL LTD,ETERN=Q5 is equity,ETERN=U5 is equity,ETERNAL LTD Aug25,ETERNAL LTD Sep25,BBG01V9XSDL6,BBG01VT8QHF9,2425,2425,311.45,,,,ETERNAL LTD Sep25,BBG01V9XSDL6,BBG01VT8QHF9,2425,318.95,2425
,EXID,EXID IS Equity,EXIDE INDUSTRIES LTD,EXID=Q5 is equity,EXID=U5 is equity,EXIDE Industries Aug25,EXIDE Industries Sep25,BBG01V9XSG48,BBG01VT8QJN6,1800,1800,373.5,,,,EXIDE Industries Sep25,BBG01V9XSG48,BBG01VT8QJN6,1800,396.65,1800
FEDERALBNK,FB,FB IS Equity,FEDERAL BANK LTD,FB=Q5 is equity,FB=U5 is equity,Federal Bank Ltd Aug25,Federal Bank Ltd Sep25,BBG01V9XSH00,BBG01VT8QKG1,5000,5000,195.54,,,,Federal Bank Ltd Sep25,BBG01V9XSH00,BBG01VT8QKG1,5000,192.53,5000
,GAIL,GAIL IS Equity,GAIL INDIA LTD,GAIL=Q5 is equity,GAIL=U5 is equity,Gail India Ltd Aug25,Gail India Ltd Sep25,BBG01V9XSJ51,BBG01VT8QM31,3150,3150,173.54,,,,Gail India Ltd Sep25,BBG01V9XSJ51,BBG01VT8QM31,3150,171.77,3150
,GNP,GNP IS Equity,GLENMARK PHARMACEUTICALS LTD,GNP=Q5 is equity,GNP=U5 is equity,Glenmark Pharma Aug25,Glenmark Pharma Sep25,BBG01V9XSKF7,BBG01VT8QNF6,375,375,2043.9,,,,Glenmark Pharma Sep25,BBG01V9XSKF7,BBG01VT8QNF6,375,1954.7,375
GMRAIRPORT,GMRAI,GMRAIRPO IS Equity,GMR AIRPORTS LTD,GMRAI=Q5 is equity,GMRAI=U5 is equity,GMR AIRPORTS LTD Aug25,GMR AIRPORTS LTD Sep25,BBG01V9XSJX0,BBG01VT8QMW9,6975,6975,89.91,,,,GMR AIRPORTS LTD Sep25,BBG01V9XSJX0,BBG01VT8QMW9,6975,88.59,6975
GODREJCP,GCPL,GCPL IS Equity,GODREJ CONSUMER PRODUCTS LTD,GCPL=Q5 is equity,GCPL=U5 is equity,GODREJ CONSUMER Aug25,GODREJ CONSUMER Sep25,BBG01V9XSKX7,BBG01VT8QNW7,500,500,1198,,,,GODREJ CONSUMER Sep25,BBG01V9XSKX7,BBG01VT8QNW7,500,1257.6,500
